interest_category_id,interest_category_name,level,placements,special_industries,sub_category_ids
21101,Furniture,2,,"HOUSING,EMPLOYMENT,CREDIT",
21102,Construction Materials & Lighting,2,,"HOUSING,EMPLOYMENT,CREDIT",
21103,Hardware & Electrical,2,,,
21104,Home Decor,2,,"HOUSING,EMPLOYMENT,CREDIT",
22101,Clothing Accessories,2,,"HOUSING,EMPLOYMENT,CREDIT","22101100,22101101,22101102,22101103,22101104,22101105,22101106"
22102,Bags,2,,"HOUSING,EMPLOYMENT,CREDIT","22102100,22102101,22102102,22102103,22102105,22102106,22102107,22102108"
22105,Watches,2,,,
22106,Ordinary Jewelry,2,,"HOUSING,EMPLOYMENT,CREDIT",
22107,High-end Jewelry,2,,,
22108,Men's Clothing,2,,,"22108100,22108101,22108102,22108103,22108104,22108105,22108106,22108107,22108108,22108109,22108110,22108112"
22109,Men's Shoes,2,,,"22109100,22109101,22109102,22109103,22109104"
22110,Women's Clothing,2,,,"22110100,22110101,22110102,22110103,22110104,22110105,22110106,22110107,22110108,22110109,22110110,22110111,22110112,22110113,22110114,22110115"
22111,Women's Shoes,2,,,"22111100,22111101,22111102,22111103,22111104"
22112,Traditional & Ceremonial Clothing,2,,"HOUSING,EMPLOYMENT,CREDIT",22112109.22112110
22113,Wearable Tech Devices,2,,"HOUSING,EMPLOYMENT,CREDIT",
23102,Business & Economy,2,,"HOUSING,EMPLOYMENT,CREDIT",
23103,Science & Technology,2,,"HOUSING,EMPLOYMENT,CREDIT",
23104,Culture & History,2,,"HOUSING,EMPLOYMENT,CREDIT",
23105,Charity,2,,"HOUSING,EMPLOYMENT,CREDIT",
23106,Law,2,,,
23107,Sustainability,2,,"HOUSING,EMPLOYMENT,CREDIT",
23108,Celebrity,2,,,
23109,Lifestyle News,2,,"HOUSING,EMPLOYMENT,CREDIT",
23110,Live Events,2,,"HOUSING,EMPLOYMENT,CREDIT",
23111,Collectables & Antiques,2,,,
23112,TV Drama / TV Series,2,,"HOUSING,EMPLOYMENT,CREDIT",
23113,Anime,2,,"HOUSING,EMPLOYMENT,CREDIT",
23114,Astrology,2,,,
23116,Culture & Art,2,,"HOUSING,EMPLOYMENT,CREDIT","10106102,23116100,23116101,23116107,23116999"
23117,Variety Shows,2,,,"23117100,23117101,23117104,23117105,23117999"
23118,Reading,2,,"HOUSING,EMPLOYMENT,CREDIT","23118100,23118103,23118106"
23119,Movie,2,,"HOUSING,EMPLOYMENT,CREDIT","23119100,23119101,23119102,23119103,23119104,23119107,23119109,23119110,23119111,23119113,23119114,23119115"
23122,Beauty & Personal Care,2,,,
23123,Sports & Fitness,2,,"HOUSING,EMPLOYMENT,CREDIT",
23124,Food & Cooking,2,,"HOUSING,EMPLOYMENT,CREDIT",
23126,Cars,2,,,
23129,Pets,2,,"HOUSING,EMPLOYMENT,CREDIT",
23131,Relationships,2,,,
23133,Tourism,2,,"HOUSING,EMPLOYMENT,CREDIT",
23999,Other News,2,,"HOUSING,EMPLOYMENT,CREDIT",
24100,Real Estate & Home Rentals,2,,"HOUSING,EMPLOYMENT,CREDIT",24100100.24100100
24101,Office Equipment & Supplies,2,,,
24102,Recruitment & Job Searching,2,,"HOUSING,EMPLOYMENT,CREDIT",
24103,Construction Engineering,2,,,
24104,Electronics & Electrical,2,,,
24106,Machinery & Equipment,2,,,
24107,Franchising,2,,"HOUSING,EMPLOYMENT,CREDIT",
24108,"Agriculture, Forestry, Animal Husbandry & Fishing",2,,"HOUSING,EMPLOYMENT,CREDIT",
24109,Energy Conservation & Sustainability,2,,"HOUSING,EMPLOYMENT,CREDIT",
24110,Safety & Security,2,,,
24111,Logistics,2,,"HOUSING,EMPLOYMENT,CREDIT",
24112,Marketing & Advertising,2,,"HOUSING,EMPLOYMENT,CREDIT",
24113,Professional Consultation,2,,"HOUSING,EMPLOYMENT,CREDIT",
24114,Exhibition Services,2,,,
24116,IT Services,2,,"HOUSING,EMPLOYMENT,CREDIT",
24117,Legal Services,2,,"HOUSING,EMPLOYMENT,CREDIT",
24118,Business Auction Services,2,,"HOUSING,EMPLOYMENT,CREDIT",
24119,Investment Planning & Management,2,,"HOUSING,EMPLOYMENT,CREDIT",
24120,Individual Entrepreneurship,2,,,
25100,Games (By Type),2,,"HOUSING,EMPLOYMENT,CREDIT","25100100,25100101,25100102,25100103,25100104,25100105,25100106,25100107,25100108,25100109,25100110,25100111,25100112,25100115,25100116"
25992,Monetization,2,,,25992001.25992000
25993,Platform,2,,,25993001.25993000
25996,Dimension,2,,,25996001.25996000
25998,Theme,2,,,"25998001,25998002,25998003,25998005,25998006,25998007,25998008,25998009,25998010,25998011,25998012,25998013,25998014,25998015,25998016,25998017,25998018,25998019,25998020,25998021"
25999,Genre,2,,,"25999001,25999002,25999003,25999004,25999005,25999006,25999007,25999008,25999009,25999010,25999011,25999012,25999013,25999014,25999015"
26100,Wedding Photography,2,,,26100101
26101,Photography,2,,"HOUSING,EMPLOYMENT,CREDIT",
26104,Gifts & Flowers,2,,"HOUSING,EMPLOYMENT,CREDIT",26104100.26104100
26105,Housekeeping,2,,"HOUSING,EMPLOYMENT,CREDIT","26105101,26105104,26105107"
26106,Shopping Services,2,,"HOUSING,EMPLOYMENT,CREDIT",26106100.26106100
26107,Used Good Sales Platforms,2,,,
26108,Gardening,2,,"HOUSING,EMPLOYMENT,CREDIT",
26111,Internet Services,2,,"HOUSING,EMPLOYMENT,CREDIT",
26112,Consumer Services,2,,"HOUSING,EMPLOYMENT,CREDIT",26112101
26113,Exercise & Fitness,2,,,
26114,Beauty & Personal Care,2,,"HOUSING,EMPLOYMENT,CREDIT",
27100,Food,2,,"HOUSING,EMPLOYMENT,CREDIT","27100103,27100106,27100111,27100114,27100122"
27101,Food & Fresh Produce,2,,"HOUSING,EMPLOYMENT,CREDIT","27101100,27101102,27101103,27101104,27101106,27101107"
27102,Beverage,2,,"HOUSING,EMPLOYMENT,CREDIT","27102100,27102101,27102102,27102103,27102104,27102105"
27104,Cooking & Recipes,2,,"HOUSING,EMPLOYMENT,CREDIT",
28100,Outdoor Equipment,2,,"HOUSING,EMPLOYMENT,CREDIT",
28101,Sports Equipment,2,,"HOUSING,EMPLOYMENT,CREDIT","28101100,28101106,28101107,28101111,28101114,28101115,28101116,28101117,28101123,28101124"
29101,Health & Wellness,2,,,
30100,Big Box Retailers,2,,,
10101102,High School Tutoring,3,,"HOUSING,EMPLOYMENT,CREDIT",
